game,game_time,minimum_total,minimum_odds,confidence,decision,elite_goalie_flag,goalie_warning,action,stake,reasoning,source_file,game_time_parsed,game_key,game_date,actual_total,result
Buffalo Sabres @ Colorado Avalanche,2025-11-13 21:10:00-05:00,3.5,-1300,78,YES,False,No elite goalie concerns,BET IT,0.03,Strong offense (3.33 GPG) | Fast pace (33.3 shots/game) | BUF cold | COL hot | Strong buffer (3.2 goals) | BUF 1 day rest | COL 2 days rest,2025-11-13_08-20_decisions.csv,2025-11-14 02:10:00+00:00,2025-11-14_Buffalo Sabres @ Colorado Avalanche,2025-11-14,,PENDING
New York Rangers @ Columbus Blue Jackets,2025-11-15 19:00:00-05:00,3.5,-900,76,YES,False,No elite goalie concerns,BET IT,0.03,Strong offense (3.23 GPG) | Fast pace (32.3 shots/game) | NYR neutral | CBJ neutral | Strong buffer (3.0 goals) | NYR 3 days rest | CBJ 2 days rest,2025-11-15_08-37_decisions.csv,2025-11-16 00:00:00+00:00,2025-11-16_New York Rangers @ Columbus Blue Jackets,2025-11-16,,PENDING
Edmonton Oilers @ Carolina Hurricanes,2025-11-15 19:00:00-05:00,3.5,-935,74,YES,False,No elite goalie concerns,BET IT,0.03,Strong offense (3.20 GPG) | Fast pace (32.0 shots/game) | EDM neutral | CAR neutral | Strong buffer (2.9 goals) | EDM 2 days rest | CAR 1 day rest,2025-11-15_08-37_decisions.csv,2025-11-16 00:00:00+00:00,2025-11-16_Edmonton Oilers @ Carolina Hurricanes,2025-11-16,,PENDING
Washington Capitals @ Carolina Hurricanes,2025-11-11 19:10:00-05:00,3.5,-825,73,YES,False,No elite goalie concerns,BET IT,0.03,Strong offense (3.38 GPG) | Fast pace (33.8 shots/game) | WSH cold | CAR neutral | Strong buffer (3.3 goals) | WSH 3 days rest | CAR 2 days rest,2025-11-11_11-47_decisions.csv,2025-11-12 00:10:00+00:00,2025-11-12_Washington Capitals @ Carolina Hurricanes,2025-11-12,,PENDING
New Jersey Devils @ Washington Capitals,2025-11-15 19:00:00-05:00,3.5,-675,73,YES,False,No elite goalie concerns,BET IT,0.03,Strong offense (3.23 GPG) | Fast pace (32.3 shots/game) | NJD neutral | WSH cold | Strong buffer (3.0 goals) | NJD 3 days rest | WSH 2 days rest,2025-11-15_08-37_decisions.csv,2025-11-16 00:00:00+00:00,2025-11-16_New Jersey Devils @ Washington Capitals,2025-11-16,,PENDING
Tampa Bay Lightning @ Florida Panthers,2025-11-15 17:00:00-05:00,3.5,-725,73,YES,False,No elite goalie concerns,BET IT,0.03,Strong offense (3.33 GPG) | Fast pace (33.3 shots/game) | TBL cold | FLA neutral | Strong buffer (3.2 goals) | TBL 3 days rest | FLA 2 days rest,2025-11-15_08-37_decisions.csv,2025-11-15 22:00:00+00:00,2025-11-15_Tampa Bay Lightning @ Florida Panthers,2025-11-15,,PENDING
Los Angeles Kings @ Toronto Maple Leafs,2025-11-13 19:10:00-05:00,3.5,-825,71,YES,True,"Anthony Stolarz (TOR) - 92.2% Sv%, 2.15 GAA",BET IT (consider half stake - elite goalie),0.03,Strong offense (3.16 GPG) | Good pace (31.6 shots/game) | LAK neutral | TOR warm | Strong buffer (2.8 goals) | LAK 2 days rest | TOR 2 days rest,2025-11-13_08-47_decisions.csv,2025-11-14 00:10:00+00:00,2025-11-14_Los Angeles Kings @ Toronto Maple Leafs,2025-11-14,,PENDING
New York Rangers @ Tampa Bay Lightning,2025-11-12 19:10:00-05:00,3.5,-725,70,YES,False,No elite goalie concerns,BET IT,0.03,Strong offense (3.35 GPG) | Fast pace (33.5 shots/game) | NYR cold | TBL cold | Strong buffer (3.2 goals) | NYR 2 days rest | TBL 4 days rest,2025-11-12_08-50_decisions.csv,2025-11-13 00:10:00+00:00,2025-11-13_New York Rangers @ Tampa Bay Lightning,2025-11-13,,PENDING
Washington Capitals @ Florida Panthers,2025-11-13 19:10:00-05:00,3.5,-700,70,YES,False,No elite goalie concerns,BET IT,0.03,Strong offense (3.29 GPG) | Fast pace (32.9 shots/game) | WSH cold | FLA cold | Strong buffer (3.1 goals) | WSH 2 days rest | FLA 3 days rest,2025-11-13_08-20_decisions.csv,2025-11-14 00:10:00+00:00,2025-11-14_Washington Capitals @ Florida Panthers,2025-11-14,,PENDING
Anaheim Ducks @ Colorado Avalanche,2025-11-11 21:40:00-05:00,3.5,-1400,68,MAYBE,False,No elite goalie concerns,REVIEW MANUALLY,0.015,Average offense (3.04 GPG) | Good pace (30.4 shots/game) | ANA hot | COL warm | Strong buffer (2.6 goals) | ANA 2 days rest | COL 2 days rest,2025-11-11_11-47_decisions.csv,2025-11-12 02:40:00+00:00,2025-11-12_Anaheim Ducks @ Colorado Avalanche,2025-11-12,,PENDING
Dallas Stars @ Ottawa Senators,2025-11-11 19:10:00-05:00,3.5,-725,68,MAYBE,False,No elite goalie concerns,REVIEW MANUALLY,0.015,Strong offense (3.17 GPG) | Good pace (31.7 shots/game) | DAL cold | OTT warm | Strong buffer (2.8 goals) | DAL 2 days rest | OTT 2 days rest,2025-11-11_11-49_decisions.csv,2025-11-12 00:10:00+00:00,2025-11-12_Dallas Stars @ Ottawa Senators,2025-11-12,,PENDING
Dallas Stars @ Montréal Canadiens,2025-11-13 19:10:00-05:00,3.5,-725,68,YES,False,No elite goalie concerns,BET IT,0.03,Strong offense (3.18 GPG) | Good pace (31.8 shots/game) | DAL cold | MTL warm | Strong buffer (2.9 goals) | DAL 2 days rest | MTL 2 days rest,2025-11-13_08-47_decisions.csv,2025-11-14 00:10:00+00:00,2025-11-14_Dallas Stars @ Montréal Canadiens,2025-11-14,,PENDING
Edmonton Oilers @ Columbus Blue Jackets,2025-11-13 19:40:00-05:00,3.5,-1150,68,YES,False,No elite goalie concerns,BET IT,0.03,Strong offense (3.24 GPG) | Fast pace (32.4 shots/game) | EDM cold | CBJ cold | Strong buffer (3.0 goals) | EDM 1 day rest | CBJ 2 days rest,2025-11-13_08-20_decisions.csv,2025-11-14 00:40:00+00:00,2025-11-14_Edmonton Oilers @ Columbus Blue Jackets,2025-11-14,,PENDING
Philadelphia Flyers @ Dallas Stars,2025-11-15 20:00:00-05:00,3.5,-700,66,YES,False,No elite goalie concerns,BET IT,0.03,Strong offense (3.14 GPG) | Good pace (31.4 shots/game) | PHI neutral | DAL neutral | Strong buffer (2.8 goals) | PHI 1 day rest | DAL 2 days rest,2025-11-15_08-37_decisions.csv,2025-11-16 01:00:00+00:00,2025-11-16_Philadelphia Flyers @ Dallas Stars,2025-11-16,,PENDING
Winnipeg Jets @ Vancouver Canucks,2025-11-11 22:10:00-05:00,3.5,-775,65,MAYBE,False,No elite goalie concerns,REVIEW MANUALLY,0.015,Strong offense (3.13 GPG) | Good pace (31.3 shots/game) | WPG cold | VAN neutral | Strong buffer (2.8 goals) | WPG 2 days rest | VAN 2 days rest,2025-11-11_11-43_decisions.csv,2025-11-12 03:10:00+00:00,2025-11-12_Winnipeg Jets @ Vancouver Canucks,2025-11-12,,PENDING
Los Angeles Kings @ Ottawa Senators,2025-11-15 19:00:00-05:00,3.5,-600,65,YES,False,No elite goalie concerns,BET IT,0.03,Average offense (3.01 GPG) | Good pace (30.1 shots/game) | LAK neutral | OTT hot | Strong buffer (2.5 goals) | LAK 2 days rest | OTT 2 days rest,2025-11-15_08-37_decisions.csv,2025-11-16 00:00:00+00:00,2025-11-16_Los Angeles Kings @ Ottawa Senators,2025-11-16,,PENDING
Buffalo Sabres @ Utah Mammoth,2025-11-12 21:10:00-05:00,3.5,-1000,65,YES,False,No elite goalie concerns,BET IT,0.03,Strong offense (3.11 GPG) | Good pace (31.1 shots/game) | BUF cold | UTA neutral | Strong buffer (2.7 goals) | BUF 4 days rest | UTA 3 days rest,2025-11-12_08-45_decisions.csv,2025-11-13 02:10:00+00:00,2025-11-13_Buffalo Sabres @ Utah Mammoth,2025-11-13,,PENDING
Toronto Maple Leafs @ Chicago Blackhawks,2025-11-15 19:00:00-05:00,3.5,-935,64,NO,True,"Anthony Stolarz (TOR) - 92.2% Sv%, 2.15 GAA",SKIP,0.0,Average offense (3.01 GPG) | Good pace (30.1 shots/game) | TOR warm | CHI warm | Strong buffer (2.5 goals) | TOR 2 days rest | CHI 3 days rest,2025-11-15_08-37_decisions.csv,2025-11-16 00:00:00+00:00,2025-11-16_Toronto Maple Leafs @ Chicago Blackhawks,2025-11-16,,PENDING
Columbus Blue Jackets @ Seattle Kraken,2025-11-11 22:10:00-05:00,3.5,-900,63,NO,False,No elite goalie concerns,SKIP,0.0,Strong offense (3.17 GPG) | Good pace (31.7 shots/game) | CBJ neutral | SEA cold | Strong buffer (2.8 goals) | CBJ 1 day rest | SEA 2 days rest,2025-11-11_12-15_decisions.csv,2025-11-12 03:10:00+00:00,2025-11-12_Columbus Blue Jackets @ Seattle Kraken,2025-11-12,,PENDING
Winnipeg Jets @ Seattle Kraken,2025-11-13 22:10:00-05:00,3.5,-700,62,NO,False,No elite goalie concerns,SKIP,0.0,Strong offense (3.20 GPG) | Good pace (32.0 shots/game) | WPG cold | SEA cold | Strong buffer (2.9 goals) | WPG 2 days rest | SEA 2 days rest,2025-11-13_08-20_decisions.csv,2025-11-14 03:10:00+00:00,2025-11-14_Winnipeg Jets @ Seattle Kraken,2025-11-14,,PENDING
Boston Bruins @ Ottawa Senators,2025-11-13 19:10:00-05:00,3.5,-850,61,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.84 GPG) | Average pace (28.4 shots/game) | BOS hot | OTT warm | Strong buffer (2.2 goals) | BOS 2 days rest | OTT 2 days rest,2025-11-13_08-20_decisions.csv,2025-11-14 00:10:00+00:00,2025-11-14_Boston Bruins @ Ottawa Senators,2025-11-14,,PENDING
Vancouver Canucks @ Carolina Hurricanes,2025-11-14 19:10:00-05:00,3.5,-1050,58,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (3.06 GPG) | Good pace (30.6 shots/game) | VAN neutral | CAR neutral | Strong buffer (2.6 goals) | VAN 3 days rest | CAR 3 days rest,2025-11-14_08-55_decisions.csv,2025-11-15 00:10:00+00:00,2025-11-15_Vancouver Canucks @ Carolina Hurricanes,2025-11-15,,PENDING
