game,game_time,minimum_total,minimum_odds,confidence,decision,elite_goalie_flag,goalie_warning,action,stake,reasoning,hit_rate,flag_count,flags,floor_10th,floor_safe,expected_total,combined_gpg,buffer,game_time_parsed,game_key,game_date,actual_total,result
Pittsburgh Penguins @ Columbus Blue Jackets,2025-11-28 19:00:00-05:00,3.5,-900,95.9,MAYBE,False,Daniil Tarasov / Alex Nedeljkovic,,,Downgraded: 95.9% < 96% needed for 0 flags,95.9,0.0,,4.34380718986654,True,7.138202985038122,6.2926829268292686,2.792682926829269,2025-11-29 00:00:00+00:00,2025-11-29_Pittsburgh Penguins @ Columbus Blue Jackets,2025-11-29,,PENDING
New Jersey Devils @ Buffalo Sabres,2025-11-28 16:00:00-05:00,3.5,-825,93.06,MAYBE,False,Unknown / Jake Allen,,,Downgraded: 93.1% < 97% needed for 1 flags,93.06,1.0,🛡️ Elite away defense (2.71 GA/G),3.827633962120955,True,6.382123767189038,6.2317073170731705,2.7317073170731705,2025-11-28 21:00:00+00:00,2025-11-28_New Jersey Devils @ Buffalo Sabres,2025-11-28,,PENDING
Vancouver Canucks @ San Jose Sharks,2025-11-28 16:00:00-05:00,3.5,-1050,91.51,MAYBE,False,Yaroslav Askarov / Unknown,,,Auto-MAYBE: 4 risk flags detected (max 2 for YES),91.51,4.0,⚠️ Both teams weak offense (2.56 + 2.88 GF/G) | 🐢 Low shot volume (25.6 + 28.8 S/G) | ⚠️ Low combined offense (5.44 combined GF/G) | 📉 Low buffer (1.94 goals above minimum),3.665556357839165,True,6.2751955683006315,5.439024390243903,1.9390243902439028,2025-11-28 21:00:00+00:00,2025-11-28_Vancouver Canucks @ San Jose Sharks,2025-11-28,,PENDING
New York Rangers @ Boston Bruins,2025-11-28 13:00:00-05:00,3.5,-775,91.5,MAYBE,False,Joonas Korpisalo / Jonathan Quick,,,Auto-MAYBE: 3 risk flags detected (max 2 for YES),91.5,3.0,🐢 Low shot volume (27.1 + 31.2 S/G) | ⚠️ Low combined offense (5.83 combined GF/G) | 📉 Low buffer (2.33 goals above minimum),3.64586681830619,True,6.21512794330751,5.829268292682928,2.3292682926829276,2025-11-28 18:00:00+00:00,2025-11-28_New York Rangers @ Boston Bruins,2025-11-28,,PENDING
Philadelphia Flyers @ New York Islanders,2025-11-28 16:00:00-05:00,3.5,-700,91.38,MAYBE,False,Semyon Varlamov / Ivan Fedotov,,,Auto-MAYBE: 3 risk flags detected (max 2 for YES),91.38,3.0,🐢 Low shot volume (27.3 + 29.0 S/G) | ⚠️ Low combined offense (5.63 combined GF/G) | 📉 Low buffer (2.13 goals above minimum),3.633200972954682,True,6.200551272095825,5.634146341463415,2.134146341463415,2025-11-28 21:00:00+00:00,2025-11-28_Philadelphia Flyers @ New York Islanders,2025-11-28,,PENDING
Tampa Bay Lightning @ Detroit Red Wings,2025-11-28 12:00:00-05:00,3.5,-1000,90.82,MAYBE,False,Cam Talbot / Andrei Vasilevskiy,,,Auto-MAYBE: 5 risk flags detected (max 2 for YES),90.82,5.0,🛡️ Elite away defense (2.67 GA/G) | 🧤 Elite away goalie (91.8% Sv%) | 🛡️ Road team D edge vs weak home offense | 🚨 DEEP FLOOR: 5th pct (3.0) well below minimum | ⚠️ Elite D vs weak O mismatch,3.5967800344809793,True,6.314229741545349,6.487804878048781,2.987804878048781,2025-11-28 17:00:00+00:00,2025-11-28_Tampa Bay Lightning @ Detroit Red Wings,2025-11-28,,PENDING
Montréal Canadiens @ Vegas Golden Knights,2025-11-28 16:00:00-05:00,3.5,-875,90.69,MAYBE,True,Akira Schmid / Unknown,,,Downgraded: 90.7% < 98% needed for 2 flags,90.69,2.0,🧤 Elite home goalie (94.9% Sv%) | 🚨 DEEP FLOOR: 5th pct (2.9) well below minimum,3.567347223940189,True,6.120792682926829,6.080792682926829,2.5807926829268286,2025-11-28 21:00:00+00:00,2025-11-28_Montréal Canadiens @ Vegas Golden Knights,2025-11-28,,PENDING
Toronto Maple Leafs @ Washington Capitals,2025-11-28 17:00:00-05:00,3.5,-1000,90.64,MAYBE,True,Logan Thompson / Anthony Stolarz,,,Auto-MAYBE: 3 risk flags detected (max 2 for YES),90.64,3.0,🧤 Elite away goalie (92.2% Sv%) | 🚨 DEEP FLOOR: 5th pct (2.9) well below minimum | 🛡️ Defensive matchup (both < 3.0 GA/G),3.559006095936553,True,6.335556683318149,6.780487804878049,3.2804878048780486,2025-11-28 22:00:00+00:00,2025-11-28_Toronto Maple Leafs @ Washington Capitals,2025-11-28,,PENDING
Nashville Predators @ Chicago Blackhawks,2025-11-28 20:00:00-05:00,3.5,-775,90.52,MAYBE,False,Arvid Soderblom / Unknown,,,Auto-MAYBE: 5 risk flags detected (max 2 for YES),90.52,5.0,⚠️ Both teams weak offense (2.76 + 2.61 GF/G) | 🐢 Low shot volume (27.6 + 26.1 S/G) | 🚨 DEEP FLOOR: 5th pct (2.9) well below minimum | ⚠️ Low combined offense (5.37 combined GF/G) | 📉 Low buffer (1.87 goals above minimum),3.551087307339464,True,6.167484729347168,5.365853658536585,1.8658536585365848,2025-11-29 01:00:00+00:00,2025-11-29_Nashville Predators @ Chicago Blackhawks,2025-11-29,,PENDING
Utah Mammoth @ Dallas Stars,2025-11-28 20:00:00-05:00,3.5,-800,88.79,MAYBE,False,Unknown / Connor Ingram,,,Floor risk - 10th percentile below minimum,88.79,4.0,🛡️ Elite home defense (2.73 GA/G) | 🚨 FLOOR RISK: 10th pct (3.4) < minimum (3.5) | 🚨 DEEP FLOOR: 5th pct (2.7) well below minimum | ⚠️ Elite D vs weak O mismatch,3.3956138964777076,False,6.081541067203101,6.317073170731707,2.8170731707317067,2025-11-29 01:00:00+00:00,2025-11-29_Utah Mammoth @ Dallas Stars,2025-11-29,,PENDING
